id,publishedAt,channelId,title,channelTitle,tags,duration,dimension,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
IpOovAHH4zc,2023-11-03T04:00:18Z,UC8ahGDcou5XFUEVf4ID69vQ,Kĩ Năng Mở Khoá Trong 10s #shorts,Đờ Cờ,"['Tập Mở Ổ Khoá Số', 'đờ cờ', 'dici_05', 'đờ cờ 45', '@dici_05', 'cờ đờ', 'dici', 'mở khóa', 'món đồ chơi kỳ lạ của tôi', 'món đồ chơi kỳ lạ', 'mở khóa kỹ năng', 'mở khóa 20 kỹ năng trong 10 ngày', 'mở khóa 20 kỹ năng', 'mo khoa ky nang', 'mo khoa 20 ky nang', 'xu hướng', 'cách lên xu hướng', 'xu huong', 'cách làm video xu hướng', 'thay đổi bản thân', '30 ngày thay đổi bản thân', 'Món Ăn Kì Lạ', 'Thử Thách Ra Ở Riêng', 'Thử Thách Kiếm Bạn Ở Đại Học']",PT40S,2d,hd,false,True,{},rectangular,1102889,47805,0,383
-nMkmRHND90,2023-10-24T10:00:00Z,UCbTAemQCm6Rud3HD0k30Qow,Theo dõi để xem nhiều clip nhảy múa nhé#minhx #dạy #nhảy #lecirque,Minhx Entertainment,"['minhx', 'nhảy tiktok', 'nhảy trend tiktok', 'nhảy tiktok trend', 'minhx entertainment', 'nhảy hiện đại', 'dancing with minhx', 'tập nhảy đơn giản', 'tập nhảy', 'dance', 'dancing', 'dạy nhảy', 'dạy nhảy đơn giản', 'dạy nhảy tiktok', 'nhảy tiktok 2023', 'minhx tiktok', 'tiktok minhx', 'tiktok dance', 'tiktok', 'hướng dẫn nhảy tiktok', 'tiktok dance 2023', 'nhảy trend tiktok mới nhất', 'nhảy trend tiktok 2023', 'nhảy trend tiktok đường phố', 'kids dance', 'học nhảy tiktok', 'học nhảy tiktok cơ bản', 'dance tiktok', 'dance shorts']",PT1M,2d,hd,false,True,{},rectangular,5730018,98571,0,748
fyBWgSsIIIk,2023-10-22T03:00:14Z,UCvx0yETx4Mg0Si_YifV3-2g,"Anh chị em ơi, kẹo dẻo màu có ăn được không?| Cuộc sống gia đình| Tiktok| Gia Đình Vui Nhộn",Anh chị em vui vẻ,['buồn cười gia đình chuyện gia đình tôi cốt truyện hài hước video vui nhộn cuộc sống gia đình'],PT49S,2d,hd,false,True,{},rectangular,7315068,105046,0,747
80rANQfMHRg,2023-10-23T10:52:48Z,UCD7jwWWYc8OsLBi_q64DTnA,"Would you guess correctly, who is smarter of the 3?",MAVF TV,,PT25S,2d,hd,false,True,{},rectangular,30482096,368634,0,293
5ew9oep48OQ,2023-10-29T11:55:54Z,UCxE_qxE-rBRn2mePLwJulIw,Messi phiên bản nhí là đây đi bóng quá đỉnh,Đỗ Kim Phúc Bóng Đá TV,,PT30S,2d,hd,false,True,{},rectangular,2385714,38445,0,106
M06dI7rrKHg,2023-11-01T00:02:51Z,UCvjOPaJZjDkgSkXsfAchSwQ,"""Lễ Cưới"" #chany #chang0000",Trần Thị Thu Trang,,PT43S,2d,hd,false,True,{},rectangular,1683103,53220,0,269
I9DgwS45cWg,2023-10-31T13:00:11Z,UC89u8T2JjgjAo1G37dXLLWw,PHIM CA NHẠC CÁI XÁC KHÔNG HỒN PHẦN 3 | FULL 4K | LÂM CHẤN KHANG - KIM JUN SEE,KhangProFilm,"['Lâm chấn khang', 'lam chan khang', 'khang pro', 'khangprofilm', 'lâm chấn khang phim', 'lâm chấn khang phim ca nhạc', 'phim lam chan khang', 'lam chan khang mv', 'mv ca nhac lam chan khang', 'Trailer Cái Xác Không Hồn Phần 2', 'Cái Xác Không Hồn', 'Cái Xác Không Hồn Phần 2', 'cai xac khong hon', 'cai xac khong hon lam chan khang', 'phim moi lam chan khang', 'cai xac khong hon trailer', 'Phim ca nhac', 'phim ca nhac cai xac khong hon', 'Phim Ca Nhạc Lâm Chấn Khang', 'full 4k', 'cai xac khong hon full 4k']",PT47M5S,2d,hd,false,True,{},rectangular,1373940,38654,0,1989
CyAQqTscV0A,2023-10-28T16:53:26Z,UCiWyQp2HgKX2-WQUq11V8FA,"BARCELONA - REAL MADRID | ""CẬU BE"" RỰC SÁNG, REAL CA KHÚC KHẢI HOÀN  | LALIGA EA SPORTS 23/24",SCTV Thể Thao Official,"['SCTV', 'sctv', 'sctv thể thao', 'ssport', 'sctv17', 'sctv15', 'thể thao', 'bóng đá', 'sự kiện thể thao', 'laliga santander', 'highlight bóng đá', 'laliga', 'BARCELONA', 'REAL MADRID', 'BARCELONA - REAL MADRID', 'CẬU BE', 'RỰC', 'SÁNG', 'REAL CA KHÚC KHẢI HOÀN', 'LALIGA EA SPORTS 23/24']",PT10M20S,2d,hd,false,True,{},rectangular,1579255,12990,0,1269
62rg4Gf1Ooo,2023-10-27T13:04:10Z,UCAhfSPCb_HzvHSI54YCZ6GA,Wxrdie - NHẠC TRAP CĂNG NHẤT 2023 (ft. 24k.Right & JasonDilla) | OFFICIAL MUSIC VIDEO,Wxrdie,"['wxrdie', 'nhạc wxrdie', 'tlinh wxrdie', 'wxrdie rapper', 'wxrdie ft tlinh', 'nhac wxrdie', 'wrxdie', 'chê hộ wxrdie', 'wxrdie live', '420ent', 'nhạc trap căng nhất', 'nhac trap cang nhat wxrdie', 'wxrdie nhac trap cang nhat', 'wxrdie nhạc trap căng nhất', 'right', 'nhạc trap 2023', 'rap việt mùa 3', 'vinflow', 'sturdy', 'nép vào sát vào', '2k3 già rồi', '2k3 2k5', 'jasondilla', '24k right', '24k right rap viet', 'rap việt', 'hiphop', 'hyperfocus', 'wxrdie king of rap']",PT3M40S,2d,hd,true,True,{},rectangular,1745259,32487,0,1705
4o9G0gxSWbA,2023-11-02T15:30:11Z,UCsluIbpgt14y6KUcwqCxXbg,"SỐ PHẬN NGHIỆT NGÃ của Cò sau Đất Phương Nam, NHỜ mẹ nuôi VỰC DẬY sau 20 năm mất liên lạc |GCTN #188",MCVMedia,"['mcvmedia', 'bạn muốn hẹn hò', 'ban muon hen ho 2022', 'love house', 'vợ chồng son', 'ghép đôi thần tốc', 'genre:talkshow', 'source:entertainment', 'series:GCTN', 'type:broadcast', 'format:full episode', 'gõ cửa thăm nhà 188', 'go cua tham nha 188', 'gõ cửa thăm nhà tập 188', 'go cua tham nha tap 188', 'gõ cửa thăm nhà #188', 'go cua tham nha #188', 'phùng ngọc đất phương nam', 'phung ngoc dat phuong nam', 'thằng cò', 'cò trong đất phương nam', 'số phận nghiệt ngã', 'mẹ nuôi', 'phùng ngọc giờ ra sao', 'đất phương nam']",PT31M44S,2d,hd,false,True,{},rectangular,704610,8365,0,1209
