id,publishedAt,dimension,channelId,title,tags,subscriberCount,viewCount,likeCount,commentCount,tags_count,title_count,trend
CYnX1jqKCUQ,2022-06-30T11:20:45Z,PT56S,UC_STX9XSCdObBUtY-65dw6A,Sự Thật Đắng Lòng Đằng Sau Những Bức Ảnh Quảng Cáo Không Ai Ngờ Đến - Tiktok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'kiến không ngủ show mặt', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'sự thật', 'tiktok sự thật', 'sự thật tiktok', 'sự thật đắng lòng', 'sự thật đằng sau']",295000,6662345,286573,428,81,21,0
S9dtZnq4f5A,2023-02-11T05:00:11Z,PT58S,UC_STX9XSCdObBUtY-65dw6A,Tại Sao Cầu Trượt Máy Bay Siêu Đắt 🤔🤔🤔- TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok']",295000,5042924,124264,146,79,14,0
Pc0wlOiDjwI,2023-03-02T11:00:31Z,PT55S,UC_STX9XSCdObBUtY-65dw6A,Sự Thật Về Chiếc Máy Bay Siêu Nhỏ Không Cần Người Lái - TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok']",295000,3466039,99971,385,79,18,0
LgQPvV2La50,2023-01-14T05:00:10Z,PT1M,UC_STX9XSCdObBUtY-65dw6A,Sự Thật Bất Ngờ Về Đôi Chân Của Vũ Công Múa Ballet 😱- TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok', 'vũ công ballet']",295000,3439503,99436,278,82,18,0
J7r2G0Th3K8,2023-10-13T11:00:30Z,PT54S,UC_STX9XSCdObBUtY-65dw6A,Sao Người Nhanh Nhất Cũng Không Đuổi Kịp Con Rùa??? - TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok']",295000,2724060,81676,987,79,16,0
ACZeL_6ePN0,2023-05-28T11:00:10Z,PT57S,UC_STX9XSCdObBUtY-65dw6A,"Củ Nhân Sâm Biết Chạy, Tin Được Không??? - TikTok Kiến Không Ngủ #Shorts","['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok']",295000,2678579,54532,127,79,14,0
FqcMNoNsgf0,2022-08-29T11:12:28Z,PT1M,UC_STX9XSCdObBUtY-65dw6A,"Sự Thật Về Cửa Hàng Tạp Hóa 99,99% Mọi Người Không Hay Biết 😱😱😱- Tiktok Kiến Không Ngủ #Shorts","['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'kiến không ngủ show mặt', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'sự thật tiktok', 'tiktok sự thật', 'tiktok fun facts', 'sự thật về cửa hàng tạp hóa']",295000,2099177,94257,756,81,19,0
oU3il2oDY0U,2023-02-18T11:00:37Z,PT55S,UC_STX9XSCdObBUtY-65dw6A,Vì Sao Người Ta Chôn Cánh Tuabin Gió Lỗi Thời ??? - TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'khoa học', 'giải thích khoa học', 'tiktok khoa học', 'sự thật', 'fun facts', 'tiktok sự thật', 'sự thật tiktok']",295000,2094061,55089,140,79,17,0
S8A9SzXOZds,2022-05-30T05:01:26Z,PT59S,UC_STX9XSCdObBUtY-65dw6A,3 Loại Quả Đắt Đỏ Nhất Thế Giới Người Có Tiền Cũng Chẳng Dám Ăn - Tiktok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'kiến không ngủ show mặt', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', '3 loại quả đắt nhất thế giới', 'most expensive fruits in the world']",295000,1986493,142628,939,78,21,0
s6FcYqRqosM,2017-07-17T10:00:05Z,PT6M23S,UC4TqyXMCW0c08N7aRfqxq9A,KHÔNG THỂ YÊU AI ĐƯỢC NỮA| GIN TUẤN KIỆT ft. MR SIRO [OFFICIAL MV],"['Gin Tuấn Kiệt', 'Mr Siro', 'Không Thể Yêu Ai Được Nữa', 'khong the yeu ai duoc nua', 'không thể yêu ai được nữa gin', 'không thể yêu ai được nữa gin tuấn kiệt', 'không thể yêu ai được nữa tuấn kiệt', 'mv không thể yêu ai được nữa gin tuấn kiệt', 'gin tuan kiet mr siro', 'không thể yêu ai được nữa mv', 'gin tuan kiet khong the yeu ai duoc nua', 'gin tuan kiet', 'Đức Mẫn Gin Tuấn Kiệt', 'Gin Tuấn Kiệt Gia Đình Là Số 1', 'không thể yêu ai', 'GIN TUẤN KIỆT - MR SIRO', 'nhạc thất tình', 'high kick']",771000,25426463,163828,10748,103,14,1
